Pressure[bar],CO2_liquid_molefraction[-],CO2_vapor_molefraction[-],CH4_liquid_molefraction[-],CH4_vapor_molefraction[-],surface_tension[mN/m]
19.456958534351735,0.9877544523596561,0.9219183215842567,0.012245547640343883,0.07808167841574333,8.509513339731305
21.098588728847503,0.9755089047193123,0.8560212929133294,0.024491095280687766,0.14397870708667054,8.160647586112617
22.73738753940113,0.9632633570789684,0.7997054056117822,0.03673664292103165,0.20029459438821787,7.821038003465799
24.37318921470873,0.9510178094386245,0.7510601448100764,0.04898219056137553,0.24893985518992356,7.49034397950353
26.005833905811905,0.9387722617982805,0.7086523049343925,0.061227738201719416,0.29134769506560765,7.168247037250603
27.63516379447214,0.9265267141579367,0.6713860420708753,0.0734732858420633,0.3286139579291248,6.854451262326194
29.261020202469304,0.9142811665175928,0.6384093942095812,0.08571883348240718,0.3615906057904189,6.548682770768428
30.883241271347924,0.9020356188772489,0.6090502355695316,0.09796438112275106,0.3909497644304683,6.2506894794401875
32.50165996234894,0.889790071236905,0.582771404693644,0.11020992876309495,0.41722859530635603,5.960239620123265
34.116102215725334,0.8775445235965612,0.5591386359639083,0.12245547640343883,0.4408613640360917,5.677122347177094
35.72638515927285,0.8652989759562173,0.5377972316601459,0.1347010240437827,0.4622027683398541,5.401146263809459
37.3323152847512,0.8530534283158734,0.5184548204339137,0.1469465716841266,0.48154517956608633,5.132139159762514
38.93368652692564,0.8408078806755295,0.5008684305962531,0.15919211932447047,0.49913156940374687,4.8699471655962
40.53027818734542,0.8285623330351857,0.4848346724766638,0.17143766696481436,0.5151653275233362,4.614434331375949
42.12185264759339,0.8163167853948418,0.4701821946464689,0.18368321460515824,0.5298178053535311,4.36548224368747
43.70815281476021,0.8040712377544978,0.4567658261215369,0.19592876224550212,0.5432341738784631,4.12298917192625
45.28889923702218,0.791825690114154,0.4444619846646796,0.208174309885846,0.5555380153353203,3.8868702872177376
46.86378681898832,0.7795801424738101,0.43316504728751726,0.2204198575261899,0.5668349527124827,3.6570570732722665
48.43248105573207,0.7673345948334662,0.4227844603247157,0.23266540516653378,0.5772155396752844,3.433496651858033
49.99461368787222,0.7550890471931223,0.4132424241816325,0.24491095280687766,0.5867575758183675,3.2161526311030744
51.5497776662495,0.7428434995527784,0.404472029479331,0.25715650044722155,0.595527970520669,3.0050037141369392
53.09752128363147,0.7305979519124346,0.3964157515416367,0.2694020480875654,0.6035842484583633,2.8000455168147416
54.6373413080775,0.7183524042720907,0.3890242325930777,0.2816475957279093,0.6109757674069222,2.6012889949273816
56.16867491122007,0.7061068566317468,0.38225529766831207,0.2938931433682532,0.6177447023316879,2.4087615536742133
57.69089013894878,0.693861308991403,0.37607316282615294,0.3061386910085971,0.623926837173847,2.222506521756216
59.20327461220458,0.6816157613510591,0.3704478038499973,0.31838423864894094,0.6295521961500028,2.0425855513289752
60.70502207028389,0.6693702137107151,0.36535446099803415,0.33062978628928485,0.6346455390019659,1.8690763565005122
62.19521627348527,0.6571246660703713,0.3607732610896931,0.3428753339296287,0.6392267389103069,1.702075106528435
63.672811659771504,0.6448791184300273,0.3566889426617799,0.3551208815699726,0.64331105733822,1.5416963970929625
65.13660999454089,0.6326335707896835,0.3530906733604349,0.3673664292103165,0.6469093266395651,1.3880738276522648
66.5852320530447,0.6203880231493396,0.34997195131878167,0.3796119768506604,0.6500280486812183,1.2413611273757235
68.01708311924529,0.6081424755089957,0.34733058410341217,0.39185752449100425,0.6526694158965878,1.101731393498917
69.43031075685457,0.5958969278686519,0.3451687399519728,0.4041030721313481,0.6548312600480273,0.9693793095710378
78.56088843171555,0.5101780943862446,0.34464288998115916,0.4898219056137553,0.6553571100188408,0.2664559316497166
79.70293811761029,0.4979325467459008,0.34698534719210705,0.5020674532540992,0.653014652807893,0.20095586460747725
80.78352870339376,0.4856869991055569,0.35006294847659675,0.5143130008944431,0.6499370515234033,0.14474500581654082
81.79175483637958,0.473441451465213,0.3539397239600147,0.526558548534787,0.6460602760399853,0.09779663578415781
82.71421452404458,0.4611959038248692,0.358691775647677,0.5388040961751308,0.6413082243523229,0.05989622326490599
83.5343198490287,0.4489503561845253,0.36441152645840774,0.5510496438154747,0.6355884735415922,0.03059372725584743
84.77897354570821,0.42445926090383745,0.3792536114948896,0.5755407390961625,0.6207463885051104,0.0024919997247537505
85.14308399573319,0.41221371326349365,0.3887363605102322,0.5877862867365063,0.6112636394897679,0.00018069420502401045
85.27760805052034,0.3999681656231498,0.3999681656231498,0.6000318343768503,0.6000318343768503,-1.2040138244628906e-11
23.173617413570135,0.96,0.7860583806699363,0.04,0.2139416193300637,7.732052381405392
