Pressure[bar],CO2_liquid_molefraction[-],CO2_vapor_molefraction[-],N2_liquid_molefraction[-],N2_vapor_molefraction[-],surface_tension[mN/m]
23.32053411379978,0.9909588748068249,0.804751934063504,0.009041125193175117,0.19524806593649602,8.289742338795886
28.787640589586495,0.9819177496136497,0.6839949785189213,0.018082250386350234,0.31600502148107873,7.740713492640105
34.20921472671554,0.9728766244204746,0.6028218925216073,0.02712337557952535,0.3971781074783926,7.219615980783838
39.58293818165444,0.9638354992272995,0.5451611494436119,0.03616450077270047,0.45483885055638806,6.725222732739118
44.907496481655464,0.9547943740341244,0.5026157189664718,0.04520562596587559,0.4973842810335282,6.256365308819433
50.18203102671892,0.9457532488409492,0.47038151751035695,0.0542467511590507,0.529618482489643,5.811941674986084
55.40589225433462,0.9367121236477742,0.44551578220524535,0.06328787635222582,0.5544842177947547,5.390920373889864
60.578508694253564,0.9276709984545991,0.4261172355689964,0.07232900154540094,0.5738827644310036,4.992339062802402
65.69930511587314,0.918629873261424,0.41090370129719517,0.08137012673857605,0.5890962987028048,4.615302338164909
70.76764254995034,0.9095887480682489,0.3989793440259866,0.09041125193175117,0.6010206559740133,4.258977464187748
75.78276812678591,0.9005476228750737,0.38969915792566495,0.09945237712492629,0.6103008420743351,3.922584489679818
80.74376923473493,0.8915064976818986,0.3825863765038084,0.1084935023181014,0.6174136234961917,3.60539257786172
85.64952972886346,0.8824653724887235,0.3772801527073321,0.11753462751127652,0.6227198472926678,3.3067102100421204
90.49868774443306,0.8734242472955484,0.37350131314629254,0.12657575270445165,0.6264986868537076,3.0258784056631147
95.28959584208607,0.8643831221023732,0.3710293233999397,0.13561687789762675,0.6289706766000603,2.7622625612935954
100.02028500643983,0.8553419969091981,0.36968645353752644,0.14465800309080187,0.6303135464624735,2.5152463967672736
104.6884345071815,0.846300871716023,0.3693267193041834,0.153699128283977,0.6306732806958165,2.284224597673647
109.29134979425721,0.837259746522848,0.36982808458096156,0.1627402534771521,0.6301719154190385,2.06859919508923
113.82595040272511,0.8282186213296727,0.37108694525186675,0.17178137867032722,0.6289130547481332,1.8677733851161558
118.28876928508014,0.8191774961364977,0.37301423429837527,0.18082250386350235,0.6269857657016248,1.681150713822521
122.67596412952051,0.8101363709433226,0.37553268324049394,0.18986362905667745,0.6244673167595061,1.5081328458819299
126.98334018815684,0.8010952457501475,0.37857489909910375,0.19890475424985257,0.6214251009008963,1.348119946556164
131.20638310618284,0.7920541205569723,0.3820820006489679,0.2079458794430277,0.6179179993510321,1.2005116709227917
135.3402993890334,0.7830129953637972,0.38600262120205703,0.2169870046362028,0.613997378797943,1.0647093544029709
139.38006160929498,0.7739718701706221,0.39029213689036224,0.22602812982937792,0.6097078631096378,0.940118260317997
143.3204552979234,0.764930744977447,0.3949120230361975,0.23506925502255305,0.6050879769638026,0.8261456347395674
147.1561246660525,0.7558896197842718,0.3998292772517866,0.24411038021572817,0.6001707227482134,0.7222252026491462
150.88161477594073,0.7468484945910967,0.405015875936609,0.2531515054089033,0.5949841240633911,0.6277961534835934
154.49140840461325,0.7378073693979217,0.4104482506972048,0.26219263060207837,0.5895517493027952,0.54226093505071
173.40997332816892,0.6835606182388709,0.4473239552676883,0.3164393817611291,0.5526760447323117,0.18828692309273948
176.05487183030476,0.6745194930456958,0.45409246802305675,0.3254805069543042,0.5459075319769432,0.15140240090463764
178.53995906385634,0.6654783678525207,0.4610245670550947,0.3345216321474793,0.5389754329449052,0.11958543203047566
180.8597635521187,0.6564372426593456,0.46811806680435497,0.34356275734065445,0.531881933195645,0.09257784163420026
183.00879102942508,0.6473961174661704,0.4753717931938313,0.35260388253382957,0.5246282068061687,0.06977985243335849
184.98150618657513,0.6383549922729953,0.4827854464595879,0.3616450077270047,0.5172145535404121,0.05093084789350616
186.77231228582474,0.6293138670798202,0.4903594916722868,0.3706861329201798,0.5096405083277132,0.03533312461153946
188.37552884056265,0.6202727418866452,0.4980950735964698,0.3797272581133549,0.5019049264035302,0.023313381141970638
189.78536745715667,0.6112316166934699,0.505993952957522,0.38876838330653,0.494006047042478,0.013725151807692383
190.99590583869315,0.6021904915002949,0.5140584616778526,0.39780950849970514,0.4859415383221473,0.006777195956739306
192.00105984766017,0.5931493663071197,0.5222914751817104,0.40685063369288027,0.47770852481828974,0.0028198690325937424
192.7945534131869,0.5841082411139447,0.5306964004917839,0.4158917588860554,0.46930359950821615,0.0009081742856974233
193.36988592334188,0.5750671159207694,0.5392771793998558,0.4249328840792305,0.46072282060014424,0.00018195471317572807
193.72029657174969,0.5660259907275944,0.5480383069138015,0.4339740092724056,0.45196169308619843,1.312972844003525e-05
193.83872486229944,0.5569848655344192,0.5569848655344192,0.4430151344655807,0.4430151344655807,-1.3902783393859862e-11
41.8478265132492,0.96,0.5256012792419563,0.04,0.4743987207580436,6.523266908180235
