Branch,Pressure [bar],x_CO2 [-],x_CH4 [-],y_CO2 [-],y_CH4 [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,17.873365907729536,0.9999874750499252,1.252495007479941e-05,0.999,0.0010000000000000009,1046.0376798088446,46.65663371283613,0.023768735873008567,0.0010611616976772503,0.04400897403200604,0.04396750638
Dew,17.896198814410635,0.9999749305242884,2.5069475711562952e-05,0.9980010010010011,0.001998998998998913,1046.0206341014245,46.66080125455487,0.023768633061518527,0.0010622700492144887,0.04400844724196337,0.043925554795655665
Dew,17.919085917878924,0.9999623538678835,3.7646132116571174e-05,0.9970020020020021,0.0029979979979979365,1046.003543521873,46.664992699246795,0.02376852995667501,0.00106338106455257,0.04400791910263343,0.04388360321131131
Dew,17.942027311186457,0.9999497450467404,5.02549532595465e-05,0.996003003003003,0.00399699699699696,1045.9864080420352,46.66920778348674,0.02376842655858865,0.0010644947453298163,0.044007389612589695,0.043841651626966974
Dew,17.96502308787606,0.9999371040267065,6.28959732934379e-05,0.995004004004004,0.004995995995995983,1045.9692276335925,46.67344624561336,0.023768322867370455,0.0010656110932311003,0.044006858770397984,0.043799700042622625
Dew,17.98807334198407,0.999924430773444,7.55692265561006e-05,0.9940050050050051,0.0059949949949948955,1045.952002268061,46.67770782572411,0.02376821888313182,0.001066730109987947,0.04400632657461631,0.04375774845827828
Dew,18.011178168044463,0.9999117252524279,8.827474757205987e-05,0.9930060060060061,0.006993993993993919,1045.9347319167834,46.68199226567442,0.023768114605984363,0.0010678517973787436,0.04400579302379486,0.04371579687393394
Dew,18.034337661090383,0.9998989874289457,0.00010101257105431321,0.9920070070070071,0.007992992992992942,1045.917416550934,46.686299309068396,0.02376801003604008,0.001068976157228749,0.044005258116475925,0.0436738452895896
Dew,18.057551916658888,0.9998862172680938,0.00011378273190621711,0.991008008008008,0.008991991991991966,1045.900056141512,46.69062870125969,0.023767905173411263,0.0010701031914103405,0.04400472185119377,0.04363189370524525
Dew,18.080821030793015,0.9998734147347766,0.00012658526522343333,0.990009009009009,0.009990990990990989,1045.8826506593393,46.694980189343475,0.023767800018210453,0.0010712329018430547,0.04400418422647461,0.0435899421209009
Dew,18.104145100045983,0.999860579793704,0.0001394202062959321,0.9890100100100101,0.010989989989989901,1045.865200075056,46.69935352215524,0.023767694570550415,0.0010723652904937888,0.04400364524083649,0.043547990536556565
Dew,18.127524221484535,0.9998477124093899,0.00015228759061006422,0.9880110110110111,0.011988988988988925,1045.8477043591245,46.703748450266474,0.023767588830544265,0.0010735003593769288,0.04400310489278921,0.043506038952212216
Dew,18.15095849269255,0.9998348125461493,0.0001651874538506884,0.987012012012012,0.012987987987987948,1045.830163481815,46.708164725981256,0.023767482798305196,0.0010746381105545004,0.044002563180834224,0.043464087367867874
Dew,18.174448011774846,0.9998218801680966,0.00017811983190336005,0.986013013013013,0.013986986986986971,1045.8125774132147,46.712602103333076,0.023767376473946722,0.0010757785461363257,0.04400202010346458,0.04342213578352353
