P [bar],x_CO2 [-],y_CO2 [-],gamma_Parachor [mN/m],gamma_WSD [mN/m]
9.920752313917308,0.999,0.6283604427193706,15.451492703913527,15.658352618254437
13.949230578733246,0.9980010010010011,0.45645832041518475,15.19156546869344,15.608678369383615
18.06415960784043,0.9970020020020021,0.3598545868944185,14.928140386880507,15.556883409359777
22.257188277992704,0.996003003003003,0.29843962123132906,14.663886966703329,15.50414352502389
26.52701901809184,0.995004004004004,0.25605902242893713,14.399980731206123,15.451077194568155
30.87529454329082,0.9940050050050051,0.22509314552045098,14.136923958109222,15.397981274674454
35.30411532444201,0.9930060060060061,0.2015003022992314,13.874991083716454,15.345019710711457
39.8166497451845,0.9920070070070071,0.18294358731239135,13.614300228084922,15.292281140001561
44.4168416277532,0.991008008008008,0.16797943831164966,13.35488717363207,15.239816406030656
49.10783998880808,0.990009009009009,0.1556673181955483,13.096818269565308,15.187666798560018
53.89410469443249,0.9890100100100101,0.14536971986169223,12.840082970541975,15.135853262485501
58.780205701290804,0.9880110110110111,0.13663866272571834,12.584671389283852,15.084392150121053
63.77173910412431,0.987012012012012,0.12915071281373108,12.330532526237926,15.033292075683638
68.87301061174176,0.986013013013013,0.122665160789917,12.077693455019421,14.982568871660032
74.09030375443984,0.9850140140140141,0.11700078451521581,11.826099236766854,14.932227989438575
79.42996100609432,0.9840150150150151,0.11201770797869734,11.575712515825025,14.882276704876366
84.89889908258704,0.9830160160160161,0.10760641456414687,11.326491150082278,14.832722031963597
90.50468048110027,0.982017017017017,0.10367994460706519,11.078388147328662,14.783571074061204
96.25558088613163,0.981018018018018,0.10016837118204856,10.831352171828238,14.73483140128929
102.16182469690351,0.9800190190190191,0.09701536581025508,10.585280892817904,14.686507312049436
108.2315592123901,0.9790200200200201,0.09417332654705346,10.340190036157946,14.63861475982189
114.47681031615548,0.9780210210210211,0.09160395999623375,10.095973708871743,14.59116109995462
120.90998656122531,0.977022022022022,0.08927494943878686,9.852553905294517,14.54415806975366
127.54494845984497,0.976023023023023,0.08715908038192603,9.609844141441597,14.497619345431778
134.39725155328463,0.9750240240240241,0.08523328867235187,9.36774779333939,14.451560828142062
141.48444389614562,0.9740250250250251,0.08347790668209207,9.12615633583177,14.406001110428639
148.82643352416483,0.9730260260260261,0.08187606833882441,8.884947141024155,14.360962048031478
156.44594701690022,0.972027027027027,0.08041323510597875,8.64398070641533,14.316469472738481
164.3691082093307,0.9710280280280281,0.07907681494088177,8.40309713196324,14.272554094534605
172.62617772413452,0.9700290290290291,0.07785605497852616,8.162106879402671,14.229250281745259
181.25523696481255,0.9690300300300301,0.07674171138752621,7.920728060128888,14.18660175407952
190.29315183094383,0.968031031031031,0.07572430517289228,7.678838717042948,14.144669034375292
199.79195279085434,0.967032032032032,0.07479703320940155,7.4360713913178875,14.103514152896716
209.811803180676,0.9660330330330331,0.07395335974286589,7.192058597091722,14.063219137394297
220.42647452313992,0.9650340340340341,0.07318747060754932,6.946349031889611,14.023887270144485
231.7280022970436,0.9640350350350351,0.07249415354972506,6.698378458638877,13.985650734071196
243.83359635248908,0.963036036036036,0.07186868044729036,6.447426399458021,13.948682066245032
256.89629720297756,0.9620370370370371,0.07130698271365751,6.192542322726923,13.913207277673948
271.1221767906709,0.9610380380380381,0.07080435875173827,5.932463372149754,13.879552125829084
286.79980439262044,0.9600390390390391,0.07035681208476346,5.665392644389204,13.848168385587186
304.3636843471706,0.9590400400400401,0.06996086725361908,5.388535729923532,13.81973537777189
324.47484406484165,0.958041041041041,0.06960843620022869,5.097899684060281,13.79537704790998
348.3276329524847,0.9570420420420421,0.06929133202097122,4.785901351381162,13.777078834393716
378.41373429697387,0.9560430430430431,0.06898894401015825,4.436831731114963,13.76913709047515
422.33816079483694,0.9550440440440441,0.06863762625498418,4.0023929281329345,13.78488796770994
