Branch,Pressure [bar],x_CO2 [-],x_CH4 [-],y_CO2 [-],y_CH4 [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,8.939219737251822,0.9999636980119953,3.630198800476897e-05,0.999,0.0010000000000000009,1128.5582627146703,23.285789310913003,0.025644106343591603,0.000529444695165373,0.044008484740849396,0.04398153296
Dew,8.949194450002283,0.999927346466784,7.265353321601055e-05,0.9980010010010011,0.001998998998998913,1128.513621663485,23.297537570269274,0.02564368436758517,0.0005300485237977315,0.04400746809573041,0.04395359391503503
Dew,8.959191211471891,0.9998909087890145,0.00010909121098539034,0.9970020020020021,0.0029979979979979365,1128.4688751662281,23.309312254233145,0.02564326137961986,0.0005306537221398508,0.04400644904173873,0.043925654870070066
Dew,8.969210089984605,0.9998543846974257,0.0001456153025743886,0.996003003003003,0.00399699699699696,1128.4240228804435,23.321113448392573,0.02564283737635748,0.0005312602947567315,0.044005427571008296,0.043897715825105106
Dew,8.97925115416781,0.9998177739094305,0.00018222609056959657,0.995004004004004,0.004995995995995983,1128.3790644620656,23.332941238771713,0.025642412354443915,0.0005318682462349465,0.044004403675635996,0.04386977678014014
Dew,8.989314472954256,0.9997810761411091,0.00021892385889082686,0.9940050050050051,0.0059949949949948955,1128.3339995654098,23.34479571183405,0.02564198631050901,0.0005324775811827808,0.04400337734768145,0.043841837735175186
Dew,8.999400115583704,0.9997442911072006,0.0002557088927993023,0.9930060060060061,0.006993993993993919,1128.2888278431656,23.356676954484637,0.02564155924116658,0.0005330883042303527,0.04400234857916672,0.04381389869021022
Dew,9.00950815160453,0.9997074185210941,0.00029258147890585067,0.9920070070070071,0.007992992992992942,1128.243548946388,23.368585054072284,0.025641131143014313,0.0005337004200297319,0.04400131736207618,0.04378595964524525
Dew,9.01963865087562,0.9996704580948208,0.00032954190517923396,0.991008008008008,0.008991991991991966,1128.1981625244764,23.380520098392466,0.02564070201263343,0.0005343139332550775,0.044000283688356186,0.043758020600280285
Dew,9.029791683568542,0.9996334095390456,0.0003665904609544655,0.990009009009009,0.009990990990990989,1128.1526682251795,23.392482175691093,0.025640271846588937,0.0005349288486027938,0.04399924754991487,0.04373008155531532
Dew,9.03996732016888,0.9995962725630587,0.00040372743694121514,0.9890100100100101,0.010989989989989901,1128.1070656945762,23.404471374665903,0.02563984064142928,0.0005355451707916339,0.04399820893862196,0.04370214251035036
Dew,9.050165631477952,0.9995590468747677,0.000440953125232295,0.9880110110110111,0.011988988988988925,1128.061354577069,23.416487784468625,0.02563940839368634,0.0005361629045628203,0.043997167846308506,0.04367420346538539
