T_K,Pc_bar
220,25.84685474975035
221,25.972205395980744
222,26.109381544607178
223,26.258317478796382
224,26.418951367183933
225,26.59122738467398
226,26.775093898810113
227,26.970501553037852
228,27.17740076789789
229,27.395735489309892
230,27.625430551532776
231,27.866417934976557
232,28.11854988452199
233,28.38159593823693
234,28.655096391760146
235,28.93781307338635
236,28.402885736547113
237,28.72518381938268
238,29.05927597591877
239,29.405208004613034
240,29.76305996051548
241,30.13291387802069
242,30.514857233937445
243,30.90898261102624
244,31.315389203030183
245,31.734179102904722
246,32.165457634112784
247,32.60933901650401
248,33.06593859580552
249,33.53537795052144
250,34.017781509271806
251,34.51328027734452
252,35.02197646221266
253,35.54407578219349
254,36.079689376281
255,36.628962635657835
256,37.19205089383492
257,37.76911198671392
258,38.360306260646325
259,38.96580102533827
260,39.58576969118938
261,40.22038584986485
262,40.869831441525946
263,41.53428995631847
264,42.21395380803814
265,42.90901632969735
266,43.61967598545736
267,44.34613693859402
268,45.088607296745444
269,45.84729796952606
270,46.622426276773865
271,47.41421288352691
272,48.22287865519407
273,49.04865388784213
274,49.891764429115284
275,50.75244476608892
276,51.63092473810401
277,52.52743611680163
278,53.44221197734327
279,54.37547574158348
280,55.32745089943748
281,56.2983470091748
282,57.28836051326591
283,58.29766996495921
284,59.326423579747434
285,60.37472417036335
286,61.442648377633375
287,62.53017184020349
288,63.6371709747204
289,64.76343485436368
296,73.098379973356
297,74.31406532168008
298,75.50502381559917
299,76.63975850576637
