mixture,T_K,Tc_K,Pc_bar,kij,phi_ij,mode,point_type,P_bar,P_bub_bar,P_dew_bar,gamma_Parachor_mN_m,gamma_WSD_mN_m,mixcorr_WSD,M_liq_g_per_mol,M_vap_g_per_mol,rho_liq_kg_per_m3,rho_vap_kg_per_m3,z_CO2,z_Methane,x_CO2,x_Methane,y_CO2,y_Methane
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,15.141501,15.141576,2.475743,16.47958397,2.6e-07,0.95000034,42.61115761,21.16404957,1175.165737,22.045927,0.95,0.05,0.95,0.05,0.183129,0.816871
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,14.474882,15.141576,2.475743,16.6826671,2.6e-07,0.95299834,42.69500266,21.35230223,1178.813029,21.137985,0.95,0.05,0.952998,0.047002,0.189861,0.810139
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,13.808264,15.141576,2.475743,16.8843994,2.6e-07,0.95594256,42.77734392,21.55958753,1182.397523,20.242777,0.95,0.05,0.955943,0.044057,0.197272,0.802728
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,13.141646,15.141576,2.475743,17.08482918,2.6e-07,0.95883534,42.85824624,21.78877209,1185.921893,19.359885,0.95,0.05,0.958835,0.041165,0.205467,0.794533
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,12.475028,15.141576,2.475743,17.28400182,2.7e-07,0.96167882,42.93777015,22.0433358,1189.388633,18.488912,0.95,0.05,0.961679,0.038321,0.21457,0.78543
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,11.80841,15.141576,2.475743,17.48196006,2.7e-07,0.96447505,43.0159723,22.32754463,1192.800082,17.629483,0.95,0.05,0.964475,0.035525,0.224732,0.775268
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,11.141791,15.141576,2.475743,17.67874413,2.7e-07,0.96722591,43.09290579,22.64668528,1196.158429,16.781245,0.95,0.05,0.967226,0.032774,0.236143,0.763857
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,10.475173,15.141576,2.475743,17.8743923,2.8e-07,0.9699332,43.16862051,23.00738932,1199.465741,15.943866,0.95,0.05,0.969933,0.030067,0.249041,0.750959
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,9.808555,15.141576,2.475743,18.06894014,2.8e-07,0.97259858,43.24316337,23.41808908,1202.723951,15.117031,0.95,0.05,0.972599,0.027401,0.263726,0.736274
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,bubble,9.141937,15.141576,2.475743,18.26242168,2.8e-07,0.97522364,43.31657864,23.88967256,1205.93489,14.300447,0.95,0.05,0.975224,0.024776,0.280588,0.719412
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,8.475319,15.141576,2.475743,18.45486895,2.8e-07,0.97780988,43.38890813,24.43644628,1209.10029,13.493842,0.95,0.05,0.97781,0.02219,0.300139,0.699861
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,7.8087,15.141576,2.475743,18.64631221,2.9e-07,0.98035872,43.46019152,25.0775894,1212.221795,12.696964,0.95,0.05,0.980359,0.019641,0.323063,0.676937
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,7.142082,15.141576,2.475743,18.83678002,2.9e-07,0.9828715,43.53046655,25.83941809,1215.30097,11.909586,0.95,0.05,0.982871,0.017129,0.350304,0.649696
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,6.475464,15.141576,2.475743,19.02629956,2.9e-07,0.98534952,43.59976937,26.75904005,1218.339323,11.131508,0.95,0.05,0.98535,0.01465,0.383186,0.616814
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,5.808846,15.141576,2.475743,19.21489518,3e-07,0.98779402,43.66813493,27.89050515,1221.338294,10.362564,0.95,0.05,0.987794,0.012206,0.423643,0.576357
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,5.142228,15.141576,2.475743,19.40259146,3e-07,0.99020624,43.73559748,29.31569037,1224.29933,9.602623,0.95,0.05,0.990206,0.009794,0.474603,0.525397
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,4.475609,15.141576,2.475743,19.58941048,3e-07,0.9925874,43.80219151,31.16477469,1227.223878,8.851594,0.95,0.05,0.992587,0.007413,0.540719,0.459281
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,3.808991,15.141576,2.475743,19.77537481,3e-07,0.9949388,43.86795309,33.65780089,1230.113468,8.109386,0.95,0.05,0.994939,0.005061,0.629861,0.370139
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,3.142373,15.141576,2.475743,19.96051396,3.1e-07,0.99726184,43.9329217,37.19781507,1232.969792,7.375713,0.95,0.05,0.997262,0.002738,0.756439,0.243561
CO2;Methane,200.0,300.705989,77.909632,0.0,1.0,envelope,dew,2.475755,15.141576,2.475743,20.14489641,3.1e-07,0.99955794,43.9971369,42.61102092,1235.794557,6.649316,0.95,0.05,0.999558,0.000442,0.949995,0.050005
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,15.237028,15.237104,2.608296,16.28649327,2.5e-07,0.95000035,42.61115767,21.38944218,1171.788649,22.307958,0.95,0.05,0.95,0.05,0.191189,0.808811
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,14.572358,15.237104,2.608296,16.48678265,2.5e-07,0.95298998,42.69476884,21.58467546,1175.424571,21.405671,0.95,0.05,0.95299,0.04701,0.19817,0.80183
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,13.907689,15.237104,2.608296,16.68579038,2.6e-07,0.955927,42.77690863,21.79942155,1178.99913,20.515833,0.95,0.05,0.955927,0.044073,0.205848,0.794152
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,13.24302,15.237104,2.608296,16.88356216,2.6e-07,0.95881363,42.85763919,22.03658899,1182.514902,19.638044,0.95,0.05,0.958814,0.041186,0.214328,0.785672
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,12.57835,15.237104,2.608296,17.08013923,2.6e-07,0.96165195,42.93701864,22.29970152,1185.974261,18.771924,0.95,0.05,0.961652,0.038348,0.223736,0.776264
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,11.913681,15.237104,2.608296,17.27556162,2.7e-07,0.96444391,43.01510144,22.59306929,1189.379456,17.917114,0.95,0.05,0.964444,0.035556,0.234226,0.765774
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,11.249011,15.237104,2.608296,17.46986683,2.7e-07,0.96719133,43.09193873,22.92202068,1192.732594,17.073275,0.95,0.05,0.967191,0.032809,0.245988,0.754012
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,10.584342,15.237104,2.608296,17.66309023,2.7e-07,0.96989594,43.16757859,23.29322125,1196.035656,16.240089,0.95,0.05,0.969896,0.030104,0.259261,0.740739
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,9.919672,15.237104,2.608296,17.8552656,2.7e-07,0.97255935,43.24206635,23.71512054,1199.290521,15.417256,0.95,0.05,0.972559,0.027441,0.274347,0.725653
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,bubble,9.255003,15.237104,2.608296,18.04642421,2.8e-07,0.9751831,43.3154448,24.19859081,1202.498946,14.604494,0.95,0.05,0.975183,0.024817,0.291634,0.708366
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,8.590334,15.237104,2.608296,18.23659614,2.8e-07,0.97776863,43.38775445,24.75786109,1205.662608,13.801542,0.95,0.05,0.977769,0.022231,0.311631,0.688369
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,7.925664,15.237104,2.608296,18.4258097,2.8e-07,0.98031732,43.45903376,25.41191914,1208.7831,13.008161,0.95,0.05,0.980317,0.019683,0.335018,0.664982
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,7.260995,15.237104,2.608296,18.6140916,2.9e-07,0.98283048,43.52931943,26.18667899,1211.861941,12.224134,0.95,0.05,0.98283,0.01717,0.362721,0.637279
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,6.596325,15.237104,2.608296,18.80146717,2.9e-07,0.98530937,43.59864665,27.11844961,1214.900594,11.449269,0.95,0.05,0.985309,0.014691,0.396037,0.603963
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,5.931656,15.237104,2.608296,18.98795968,2.9e-07,0.98775521,43.66704949,28.25971471,1217.90047,10.683409,0.95,0.05,0.987755,0.012245,0.436845,0.563155
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,5.266987,15.237104,2.608296,19.17359194,2.9e-07,0.99016919,43.73456146,29.68923706,1220.862976,9.926426,0.95,0.05,0.990169,0.009831,0.487959,0.512041
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,4.602317,15.237104,2.608296,19.35838506,3e-07,0.99255253,43.80121628,31.53078155,1223.789526,9.178222,0.95,0.05,0.992553,0.007447,0.553806,0.446194
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,3.937648,15.237104,2.608296,19.54236135,3e-07,0.99490647,43.86704918,33.99040702,1226.681615,8.43868,0.95,0.05,0.994906,0.005094,0.641754,0.358246
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,3.272978,15.237104,2.608296,19.72555109,3e-07,0.99723239,43.93209807,37.43802355,1229.540864,7.707454,0.95,0.05,0.997232,0.002768,0.765028,0.234972
CO2;Methane,201.0,300.705989,77.909632,0.0,1.0,envelope,dew,2.608309,15.237104,2.608296,19.90802405,3e-07,0.99953156,43.99639918,42.61102113,1232.368829,6.983218,0.95,0.05,0.999532,0.000468,0.949995,0.050005
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,15.33972,15.339796,2.746284,16.09311162,2.5e-07,0.95000035,42.61115782,21.61963514,1168.4008,22.588383,0.95,0.05,0.95,0.05,0.19942,0.80058
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,14.676908,15.339796,2.746284,16.29067021,2.5e-07,0.95298167,42.69453646,21.82181427,1172.02544,21.691349,0.95,0.05,0.952982,0.047018,0.206649,0.793351
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,14.014096,15.339796,2.746284,16.4870136,2.5e-07,0.95591151,42.7764754,22.04396502,1175.590124,20.806498,0.95,0.05,0.955912,0.044088,0.214592,0.785408
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,13.351285,15.339796,2.746284,16.68218393,2.5e-07,0.958792,42.85703419,22.28903245,1179.097313,19.933446,0.95,0.05,0.958792,0.041208,0.223355,0.776645
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,12.688473,15.339796,2.746284,16.87621973,2.6e-07,0.96162514,42.93626863,22.56057721,1182.549286,19.071828,0.95,0.05,0.961625,0.038375,0.233064,0.766936
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,12.025661,15.339796,2.746284,17.06915812,2.6e-07,0.96441279,43.0142311,22.86294479,1185.948201,18.2213,0.95,0.05,0.964413,0.035587,0.243876,0.756124
CO2;Methane,202.0,300.705989,77.909632,0.0,1.0,envelope,bubble,11.36285,15.339796,2.746284,17.26103399,2.6e-07,0.96715673,43.09097083,23.20149383,1189.296084,17.381539,0.95,0.05,0.967157,0.032843,0.255981,0.744019
