T_K,Pc_bar
220,-175.63994433081757
221,-170.89481700346286
222,-166.20403259612766
223,-161.56699538909103
224,-156.98311590932695
225,-152.45181100834185
226,-147.97250352933492
227,-143.54462443094909
228,-139.1676093952669
229,-134.84089714930667
230,-130.56393745233183
231,-126.3361815230246
232,-122.15708720799701
233,-118.02611888238523
234,-113.94274401002478
235,-109.90643761563592
236,-105.91667791699595
237,-101.97294909999638
238,-98.07474000309601
239,-94.22154375507172
240,-90.41285731035435
241,-86.64818501637637
242,-82.92703287142787
243,-79.24891303877557
244,-75.61333911665099
245,-72.0198323256981
246,-68.46791609390633
247,-64.95711521679618
248,-61.48696425785746
249,-58.05699454368698
250,-54.66674541497017
251,-51.31575811872072
252,-48.00357683764974
253,-44.72974992951368
254,-41.49382568045707
255,-38.29535764028722
256,-35.1339022122854
257,-32.00901554464078
258,-28.920259828438052
259,-25.86719418951936
260,-22.849383460806404
261,-19.866392500694356
262,-16.917786645207894
263,-14.003133690204802
264,-11.1220005104292
265,-8.27395334435339
266,-5.45856937015227
267,-2.6753882293461637
268,0.07599874319766182
269,2.7960364121191996
270,5.485166033165268
271,8.143828668381198
272,10.772471309556924
273,13.371547824866436
274,15.941516293428172
275,18.482844486996207
276,20.9960066979385
277,23.481492629627116
278,25.93980425013261
279,28.371460089378694
280,30.776999477095735
281,33.156984590910255
282,35.51200930549776
283,37.84270241629679
284,40.14973380233016
285,42.433828670661825
286,44.695776521916535
287,46.93647781452517
288,49.15681494680528
289,51.357975206954485
290,53.541234455172706
291,55.70773254812376
292,57.860029240799825
293,59.999430758561466
296,66.37184777128321
297,68.49584312743116
298,70.6321734709292
299,72.79420884472896
