T_K,Pc_bar
223,458.9921902554877
224,396.8746954755688
225,361.4526090786073
226,335.2625268219373
227,314.16797699004667
228,296.41528274014627
229,281.051827294281
230,267.5000340351762
231,255.38839400104422
232,244.44665500431816
233,234.4777123831701
234,225.34325443895185
235,216.92438430404968
236,209.1309715285252
237,201.88994693309817
238,195.13894537999383
239,188.83274821329314
240,182.92593914721965
241,177.38235388667334
242,172.17082325921282
243,167.26254357418046
244,162.63761468936565
245,158.27292132858557
246,154.149935226874
247,150.25213751901248
248,146.56306293116725
249,143.0731083439796
250,139.76806401457387
251,136.63703253143566
252,133.67006654157174
253,130.85814516040594
254,128.19299929183805
255,125.66702683294555
256,123.27325171045894
257,121.00523815271951
258,118.85706517666706
259,116.82325943878733
260,114.89876022028207
261,113.0788854161509
262,111.35929948476281
263,109.73597573677813
264,108.20504401816545
265,106.76334582861843
266,105.40747255375177
267,104.1344413916525
268,102.94146344694757
269,101.82593112267931
270,100.78541497051526
271,99.81758843433438
272,98.92043234461208
273,98.09187749051152
274,97.33001096426806
275,94.39063057528683
276,93.80759627131191
277,93.28415356520769
278,92.81911719728461
279,91.0507172053155
280,90.79426564443
281,91.75936316491138
282,91.51319695989685
283,91.31817236613865
284,91.17278169580852
285,91.0754450338051
286,91.02434228752982
287,91.01800001016248
288,91.05431345172033
289,91.13117428032736
290,91.24625494503928
291,91.39695026966855
292,91.58029825005931
293,91.56807246362652
294,92.03049998515722
295,92.15677955842776
296,92.55934785835167
297,92.83515091134801
298,93.10323533200395
299,94.51532292853041
300,94.66138548491313
301,94.7285755397491
302,94.679254488672
303,94.45454658721273
