T_K,Pc_bar
223,-162.04295243872775
224,-157.46780609548244
225,-152.94506149808453
226,-148.4741256869523
227,-144.05440273514398
228,-139.68532846893171
229,-135.36631129663846
230,-131.0967927761306
231,-126.87620398739136
232,-122.70398781814642
233,-118.57959023400564
234,-114.50246309204353
235,-110.4720696698184
236,-106.48786152320557
237,-102.54930978878902
238,-98.65588705478335
239,-94.80706927274639
240,-91.00233656739384
241,-87.24117190572478
242,-83.52306685688988
243,-79.847516304269
244,-76.21401291181587
245,-72.62205973439626
246,-69.0711644208778
247,-65.56083306894868
248,-62.090577740758384
249,-58.65991450036332
250,-55.26836275528193
251,-51.915441745448874
252,-48.60067836105666
253,-45.32359998448169
254,-42.08373462683225
255,-38.88061283966037
256,-35.71377135316734
257,-32.58274197263196
258,-29.487062780477604
259,-26.426270704205088
260,-23.399905936218723
261,-20.40750451912535
262,-17.448607167776455
263,-14.522749219223233
264,-11.629468762044064
265,-8.768304806450443
266,-5.938785337551599
267,-3.140443692968851
268,-0.37280658707818015
269,2.3646068303917906
270,5.072278185294741
271,7.75069652002248
272,10.400363191511618
273,13.02178479364703
274,15.61548250343224
275,18.181988745472882
276,20.721852627653963
277,23.235643023135435
278,25.72394887463472
279,28.187387434165647
280,30.626633049403374
281,33.04231709251722
282,35.43519344493205
283,37.806038027778946
284,40.15569335599895
285,42.4850743434996
286,44.795188321051874
287,47.08715235709802
288,49.362221086051825
289,51.62185090189954
290,53.86762530211931
291,56.10147754134966
292,58.325664157198624
293,60.54293367495796
294,62.75656329842037
295,64.97076911848042
296,67.19088378041131
297,69.42408997090682
298,71.68028501198684
299,73.97385597732678
300,76.32696631790469
301,78.77668581774087
302,81.39268264996547
303,84.33952856220212
