T_K,Pc_bar
220,54.44503856842256
221,54.10330363082622
222,53.785188518635586
223,53.490282250065434
224,53.218192242259605
225,52.9685447103768
226,52.74098256425917
227,52.53514752035692
228,52.350756116581586
229,52.187478056983856
230,52.04502612319632
231,51.92312031106001
232,51.82145500471635
233,51.73988113546139
234,51.67810964775309
235,51.635921303081055
236,51.61310804718802
237,51.609474448262034
238,51.624835233635174
239,51.65901791727219
240,51.71185915640578
241,51.78320500531295
242,51.87286663218668
243,51.980811613854364
244,52.1068603431142
245,52.25089745157512
246,52.41281201952655
247,52.59250507620052
248,52.78988256610579
249,53.00485683662311
250,53.237347415629976
251,51.92856087217368
252,52.21030944124264
253,52.50883437134765
254,52.824101175958106
255,53.15608557444388
256,53.50476268650122
257,53.870109851955775
258,54.252126751348364
267,58.438772560265065
268,58.98708763757126
269,59.55202568281281
270,60.13358665734396
271,60.731740284412886
272,61.346469662499494
273,61.9777577417131
274,62.625611516003154
275,63.289959626952594
276,63.97061569743405
277,64.66767891050061
278,65.38090404868767
279,66.1102620191063
280,66.85548171728229
281,67.61637537644206
282,68.39253316887527
283,69.18352399785576
284,69.98916708034649
285,70.80860801503341
286,71.64097337733602
287,72.48524052085651
288,73.34008536264155
289,74.20385026462985
290,75.07402525001794
291,75.94743513463106
294,78.54174967792271
295,79.37023750520616
296,80.1565042468995
297,80.87477696072341
298,81.49374850172975
