T_K,Pc_bar
236,-105.76626226204114
247,-64.73728858802613
248,-61.25996212338142
249,-57.82265720522573
250,-54.424907593453575
251,-51.06624740100377
252,-47.74621561992932
253,-44.464352832491336
254,-41.220202260515975
255,-38.01330844513279
256,-34.843217910262766
257,-31.709478474395258
258,-28.611641168465066
259,-25.549255297223
260,-22.521873478554795
261,-19.529045705435188
262,-16.570325548067906
263,-13.645263531078976
264,-10.753410978227295
265,-7.8943176625938385
266,-5.067530510539566
267,-2.2725948498558393
268,0.49094504764788316
269,3.223553229255839
270,5.92569401657769
271,8.597839539810511
272,11.240469880764746
273,13.854070597570962
274,16.43913998455469
275,18.996185020269653
276,21.525731151868598
277,24.028319219199417
278,26.50450457873609
279,28.954875332688594
280,31.38004483906734
281,33.78066208614753
282,36.15742102498371
283,38.51106803749214
284,40.84239907640119
286,45.44189394366461
287,47.712161100003875
288,49.96446416417578
289,52.200338475855126
290,54.42162358279351
291,56.63057670090039
292,58.83007205076328
293,61.02375836781224
294,63.216629687559845
295,65.41571225520482
296,67.6315586341625
297,69.88149708317472
298,72.19736875967719
299,74.65091407204662
