Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_N2_[-]
220.0,6.3386536419378965,15.231585824527187,7.061053364938253,0.9994486339751654,0.9539700396625374,1157.3418210843947,16.259071141062215,4.148578062706185
220.0,6.655460628234148,15.171282292790865,7.085029287427176,0.9988972679503305,0.912230483636347,1156.9800552678366,16.803572733431285,4.127622989749597
220.0,6.972258485559225,15.111213773575754,7.108674715757609,0.998345901925496,0.8742137603986742,1156.6182381706708,17.349112893052393,4.106913654243611
220.0,7.289037409054041,15.051379353051239,7.133298933463394,0.9977945359006611,0.839447593842341,1156.256367618567,17.89566839244909,4.086428193627565
220.0,7.605789157012999,14.991778136034876,7.157531356536829,0.9972431698758265,0.8075359168045221,1155.8944417780042,18.443218749832376,4.0661492775383845
220.0,7.922506754457951,14.932409199742775,7.181388897396943,0.9966918038509919,0.778144172354655,1155.532459091673,18.991745943435664,4.046062898365266
220.0,8.239184262024462,14.873271723235389,7.204887629945802,0.9961404378261571,0.7509878749582586,1155.1704182281076,19.541234138412563,4.026158228634322
220.0,8.555816593968347,14.814364784533153,7.229251142228229,0.9955890718013224,0.7258236217752295,1154.8083180420172,20.09166943543211,4.006426012791451
220.0,8.872399373443052,14.755687485705229,7.253363640400686,0.9950377057764878,0.7024419654005019,1154.4461575427501,20.64303964431118,3.9868588194133796
220.0,9.188928816421479,14.697238919202364,7.2771149004321956,0.994486339751653,0.6806617150230853,1154.083935869005,21.195334082917494,3.9674505125323303
220.0,9.50540163795054,14.639018167560303,7.300520109278247,0.9939349737268184,0.660325343989264,1153.7216522683896,21.748543399996382,3.948454884278628
220.0,9.821814975683763,14.581024264780353,7.324533188149516,0.9933836077019836,0.6412952618529445,1153.359306080775,22.30265941984844,3.929669334345816
220.0,10.138166327275858,14.523256353181326,7.348536597486465,0.9928322416771489,0.6234507674270701,1152.9968967246436,22.857675006541236,3.9110124061587097
220.0,10.454453498587386,14.465713437425297,7.3721920082899155,0.9922808756523143,0.6066855424167901,1152.6344236858156,23.41358394536119,3.8924889208656364
220.0,10.770674560753553,14.408394558051159,7.395513775916953,0.9917295096274795,0.5909055772659907,1152.2718865080813,23.970380839338166,3.874096479230929
220.0,11.086827814275324,14.351298745996237,7.419121069388517,0.9911781436026449,0.5760274449198167,1151.9092847853979,24.528061018896697,3.8558330214673173
220.0,11.402911758835911,14.294425022959983,7.443034098820051,0.9906267775778101,0.561976856439559,1151.5466181552977,25.086620462882976,3.837696762364989
220.0,11.718925067868456,14.237772402230542,7.46661178811418,0.9900754115529755,0.5486874463299928,1151.1838862933635,25.646055729457643,3.8196861388502925
220.0,12.034866566926539,14.181339889421169,7.489867694407046,0.9895240455281408,0.5360997461542203,1150.8210889085108,26.20636389551505,3.801799767622968
220.0,12.350735215247198,14.125126483293194,7.513020826270207,0.988972679503306,0.5241603133157174,1150.4582257389786,26.767542503489626,3.784036410878267
220.0,12.666530090077966,14.06913117662546,7.53685996261197,0.9884213134784714,0.5128209883689336,1150.095296548906,27.3295895145649,3.7663949485146664
220.0,12.982250373032018,14.013352956853597,7.560375827172052,0.9878699474536367,0.5020382593109056,1149.7323011253766,27.892503267426957,3.7488743555842823
220.0,13.29789533844918,13.957790806755352,7.583581220779855,0.987318581428802,0.4917727153307995,1149.3692392758808,28.456282441838443,3.731473684000372
220.0,13.61346434324719,13.902443704953955,7.60648837586168,0.9867672154039673,0.48198857569349324,1149.0061108261007,29.020926026397643,3.714192047656443
220.0,13.928956818152592,13.847310626469861,7.630021942807524,0.9862158493791326,0.47265328199158474,1148.6429156180109,29.586433289954115,3.6970286102330134
220.0,14.244372260008529,13.792390543155724,7.653492433687526,0.9856644833542979,0.46373714405626265,1148.2796535082023,30.15280375620532,3.679982575079175
220.0,14.55971022506237,13.737682424436974,7.676663174693537,0.9851131173294632,0.45521303147870323,1147.9163243664218,30.720037181078673,3.663053176757926
