Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_CH4_[-]
250.0,18.05553630532421,8.822419732141467,9.307151382294776,0.9989201901102926,0.9882973908012029,1041.9202361002713,45.93174744024038,1.8395775679489499
250.0,18.297989523682297,8.77702603096597,9.334903745682494,0.9978403802205854,0.9769157282754435,1040.7126194625132,46.24469097797978,1.8341465649399575
250.0,18.540033496590183,8.731815680290108,9.362944391386065,0.9967605703308781,0.9658422900324648,1039.5051095741396,46.55812554861079,1.8287420221731487
250.0,18.781667949078678,8.686787965962,9.390850719161989,0.9956807604411708,0.9550650118630698,1038.2977052381716,46.872052724396035,1.823363943899599
250.0,19.022892654688732,8.641942172012724,9.418628245286683,0.9946009505514635,0.9445724461369088,1037.0904052707351,47.186474062854714,1.8180123263247792
250.0,19.263707432119922,8.597277581214538,9.446282322487248,0.9935211406617562,0.9343537232848704,1035.8832084998492,47.50139111347447,1.812687158252949
250.0,19.50411214226283,8.552793475227869,9.474622369069692,0.9924413307720489,0.9243985161052408,1034.6761137643282,47.81680542358033,1.8073884218233698
250.0,19.744106685397252,8.50848913483932,9.502903347010239,0.9913615208823416,0.9146970066574355,1033.4691199127608,48.13271854343501,1.802116093156121
250.0,19.983690998584255,8.464363840422825,9.53105684812009,0.9902817109926343,0.9052398555291964,1032.2622258025476,48.44913203068797,1.7968701427909144
250.0,20.222865053312482,8.42041687231087,9.559182292465266,0.989201901102927,0.8960181732829549,1031.0554302990358,48.766047454244834,1.7916505360330208
250.0,20.461628853268326,8.37664751102636,9.587598913577928,0.9881220912132197,0.8870234939048455,1029.8487322746926,49.08346639762266,1.7864572331884465
250.0,20.699982432294412,8.33305507920866,9.616481903308426,0.9870422813235125,0.8782477500958773,1028.6421306083453,49.40139046186688,1.78129022560196
250.0,20.937925852495358,8.289638764496992,9.645239200957022,0.9859624714338051,0.8696832502591286,1027.4356241844814,49.71982126806907,1.7761493907092327
250.0,21.17545920247704,8.24639789859843,9.673875966272034,0.9848826615440979,0.8613226570498725,1026.2292118925825,50.03876045954964,1.7710347122718173
250.0,21.412582595699355,8.203331762372502,9.702397180873028,0.9838028516543905,0.8531589673671708,1025.0228926265097,50.35820970372876,1.7659461330073485
250.0,21.649296168982236,8.160439636714749,9.731443809766539,0.9827230417646833,0.8451854936761093,1023.8166652839393,50.67817069374312,1.7608835918361112
250.0,21.885600081041904,8.117720803149284,9.76058736977447,0.9816432318749759,0.8373958465593774,1022.6105287658099,50.998645149821414,1.7558470241059514
250.0,22.12149451123014,8.075174544544314,9.789611521354168,0.9805634219852687,0.8297839184055289,1021.4044819758357,51.31963482046646,1.7508363618417335
250.0,22.35697965827562,8.032800144145632,9.81852115801469,0.9794836120955613,0.822343868149126,1020.1985238200315,51.641141483451776,1.7458515337981504
250.0,22.592055739130227,7.990596884177439,9.847479693894194,0.9784038022058541,0.8150701069850269,1018.9926532062664,51.96316694666318,1.7408924726439974
