Branch,Pressure [bar],x_CO2 [-],x_CH4 [-],y_CO2 [-],y_CH4 [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,8.939220511258295,0.9999636980116189,3.6301988381115535e-05,0.999,0.0010000000000000009,1128.5582629232422,23.285791635926184,0.02564410634833709,0.0005294447480287687,0.04400848474083887,0.04398153296
Dew,8.949195240176124,0.9999273464660146,7.265353398544505e-05,0.9980010010010011,0.001998998998998913,1128.5136218752589,23.297539942471367,0.02564368437240994,0.0005300485777683374,0.044007468095708886,0.04395359391503503
Dew,8.959192017889446,0.9998909087878349,0.0001090912121650689,0.9970020020020021,0.0029979979979979365,1128.468875381172,23.309314673797065,0.025643261384523455,0.0005306537772230118,0.04400644904170574,0.043925654870070066
Dew,8.969210912727178,0.9998543846958183,0.00014561530418166768,0.996003003003003,0.00399699699699696,1128.4240230985286,23.32111591550573,0.025642837381339545,0.000531260350958133,0.04400542757096334,0.043897715825105106
Dew,8.979251993311392,0.999817773907378,0.0001822260926219732,0.995004004004004,0.004995995995995983,1128.3790646832567,23.332943753605154,0.025642412359503923,0.0005318683035599119,0.044004403675578604,0.04386977678014014
Dew,8.989315328580258,0.9997810761385938,0.00021892386140620612,0.9940050050050051,0.0059949949949948955,1128.3339997896767,23.344798274574693,0.025641986315646584,0.0005324776396370057,0.0440033773476111,0.043841837735175186
Dew,8.999400987773546,0.9997442911042043,0.0002557088957957365,0.9930060060060061,0.006993993993993919,1128.2888280704767,23.356679565319,0.025641559246381295,0.0005330883638195341,0.04400234857908293,0.04381389869021022
Dew,9.009509040435606,0.9997074185175986,0.0002925814824014106,0.9920070070070071,0.007992992992992942,1128.2435491767055,23.368587713174435,0.025641131148305612,0.0005337004807592939,0.044001317361978425,0.04378595964524525
Dew,9.01963955642959,0.9996704580908076,0.0003295419091924323,0.991008008008008,0.008991991991991966,1128.1981627577693,23.380522805948825,0.025640702018000918,0.0005343139951307364,0.04400028368824394,0.043758020600280285
Dew,9.029792605927065,0.9996334095344961,0.00036659046550391317,0.990009009009009,0.009990990990990989,1128.1526684614137,23.392484931887687,0.02564027185203213,0.0005349289116302681,0.04399924754978764,0.04373008155531532
Dew,9.039968259412323,0.9995962725579544,0.0004037274420456427,0.9890100100100101,0.010989989989989901,1128.1070659337167,23.40447417968445,0.025639840646947694,0.0005355452349765544,0.043998208938479215,0.04370214251035036
