P [bar],x_CO2 [-],y_CO2 [-],gamma_Parachor [mN/m],gamma_WSD [mN/m]
32.49495126157189,0.999,0.9898115303290796,5.04125227111261,5.0526402116688045
32.956849938308906,0.9980010010010011,0.9798535628882866,5.006620449540282,5.029382355982314
33.418630798359494,0.9970020020020021,0.9701136007732528,4.9720212017613115,5.006146773144379
33.880233004157525,0.996003003003003,0.960588891896779,4.937463741246745,4.9829352455660345
34.34160347562585,0.995004004004004,0.9512762394622539,4.902956173555569,4.959749300570664
34.80269333108823,0.9940050050050051,0.9421720983837489,4.868505848265133,4.93659035244004
35.26345746401308,0.9930060060060061,0.9332726559931336,4.834119441678404,4.913459711379699
35.72385417119412,0.9920070070070071,0.9245738989855429,4.799803030907933,4.89035859286828
36.18384482556448,0.991008008008008,0.9160716685356106,4.765562167951505,4.8672881311920655
36.64339358764889,0.990009009009009,0.9077617073932828,4.731401905391952,4.844249370976611
37.102467150536654,0.9890100100100101,0.8996396960692956,4.6973268923574505,4.82124329879768
37.56103451387988,0.9880110110110111,0.8917012850804198,4.66334139103122,4.798270835404568
38.0190667830975,0.987012012012012,0.8839421203694318,4.629449322555527,4.7753328455924375
38.476536990491475,0.986013013013013,0.8763578643326599,4.595654301533341,4.752430143882858
38.93341993543619,0.9850140140140141,0.8689442129820196,4.561959666351893,4.729563499551129
39.389692041207056,0.9840150150150151,0.8616969098778933,4.528368505860217,4.706733641054317
39.845331226395835,0.9830160160160161,0.8546117573621201,4.494883682871167,4.683941259918376
40.30031678909473,0.982017017017017,0.847684625531817,4.461507854899048,4.661187014141832
40.75462930230578,0.981018018018018,0.8409114593215173,4.428243492493579,4.63847153117248
41.20825051928121,0.9800190190190191,0.834288284000606,4.395092895483095,4.615795410509345
41.661163287612546,0.9790200200200201,0.8278112093429167,4.362058207398048,4.5931592259774865
42.11334629943928,0.9780210210210211,0.8214764155822456,4.329141850220528,4.570563737375493
42.564794486359176,0.977022022022022,0.8152802227533907,4.296344865131338,4.548009061789155
43.0154885846507,0.976023023023023,0.8092189917821604,4.263669420025314,4.5254959174365155
43.46541510344483,0.9750240240240241,0.8032891947230266,4.231117116931764,4.503024775948052
43.91456131763639,0.9740250250250251,0.7974873921654181,4.198689500536403,4.480596116412631
44.36291521772124,0.9730260260260261,0.7918102373596462,4.166388003484916,4.458210392917792
44.81046546361487,0.972027027027027,0.7862544744679906,4.134213968340849,4.435868043696587
45.25720134209181,0.9710280280280281,0.780816937586156,4.102168653700557,4.4135694919735675
45.70311272748866,0.9700290290290291,0.7754945495133504,4.070253239751686,4.391315146726149
46.1481900453725,0.9690300300300301,0.7702843203185215,4.038468833338572,4.369105403373355
46.5924242389044,0.968031031031031,0.7651833457431539,4.006816472588758,4.346940644401652
47.03580673765245,0.967032032032032,0.7601888054749151,3.975297131149984,4.324821239937305
47.47832942864651,0.9660330330330331,0.7552979613213736,3.9439117220781243,4.302747548271929
47.91998462947718,0.9650340340340341,0.7505081553085615,3.912661101413395,4.280719916347899
48.36076506327484,0.9640350350350351,0.7458168077253976,3.881546071476833,4.258738680208839
48.80066383538984,0.963036036036036,0.7412214151318511,3.8505673839142593,4.236804165419344
49.23967441166588,0.9620370370370371,0.7367195483458808,3.819725742513679,4.2149166874582855
49.67779059815697,0.9610380380380381,0.7323088504219395,3.7890218058163088,4.193076552088064
50.11500652218737,0.9600390390390391,0.7279870346316755,3.758456189542271,4.171284055703636
50.551316614631105,0.9590400400400401,0.7237518824558817,3.728029468846124,4.149539485662397
50.986715593346695,0.958041041041041,0.7196012415951276,3.697742180418556,4.127843120597702
51.421198447645516,0.9570420420420421,0.7155330240052716,3.667594824447498,4.106195230717433
51.854760423754186,0.9560430430430431,0.7115452039629818,3.637587866449918,4.08459607808874
52.287397011162504,0.9550440440440441,0.7076358161653615,3.6077217389861724,4.063045916910662
52.71910392982045,0.9540450450450451,0.7038029538670655,3.5779968432653853,4.041544993775058
53.14987711809521,0.9530460460460461,0.7000447670574783,3.548413550651336,4.020093547917244
53.579712721474955,0.9520470470470471,0.6963594606725961,3.518972204157115,3.9986918115016694
54.008607081928155,0.9510480480480481,0.6927452928868575,3.4896731194592525,3.9773400096788896
54.43655672788796,0.9500490490490491,0.6892005733787055,3.460516586606872,3.9560383610634373
54.86355836482254,0.94905005005005,0.6857236617109391,3.431502870900836,3.934787077783445
55.28960886635591,0.9480510510510511,0.6823129657229277,3.4026322140758887,3.913586365728274
55.714705265883566,0.9470520520520521,0.6789669399753375,3.3739048353472287,3.8924364247485754
56.13884474866603,0.9460530530530531,0.6756840842406379,3.3453209323986797,3.8713374488494865
56.56202464437031,0.9450540540540541,0.6724629420390463,3.316880682316126,3.8502896263771413
