Branch,Pressure [bar],x_CO2 [-],x_Ar [-],y_CO2 [-],y_Ar [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,35.039143710876374,0.9998891142372192,0.0001108857627808435,0.999,0.0010000000000000009,926.7622039204172,98.23221828162626,0.02105844619583112,0.0022322745012897955,0.04400904963747447,0.0440054385
Dew,35.08963873501401,0.9997781003649386,0.00022189963506136223,0.9980010010010011,0.001998998998998913,926.705660936699,98.34602286375095,0.021057377129944564,0.002235066729319417,0.0440085987546322,0.044001381065565566
Dew,35.14024203106765,0.9996668460534411,0.00033315394655886177,0.9970020020020021,0.0029979979979979365,926.6489928256003,98.4601642629373,0.02105630566611522,0.002237867127746606,0.04400814689524605,0.04399732363113113
Dew,35.190954174699456,0.9995553498453711,0.00044465015462891166,0.996003003003003,0.00399699699699696,926.5921987588429,98.57464393343787,0.021055231788208607,0.002240675731888247,0.044007694053396974,0.043993266196696704
Dew,35.241775743562094,0.9994436102781326,0.0005563897218674452,0.995004004004004,0.004995995995995983,926.535277904972,98.6894633390913,0.021054155480026693,0.002243492577292175,0.044007240223144645,0.04398920876226226
Dew,35.292707317328606,0.9993316258837961,0.000668374116203907,0.9940050050050051,0.0059949949949948955,926.4782294293087,98.80462395339383,0.02105307672530698,0.0022463176997389047,0.04400678539852704,0.04398515132782783
Dew,35.34374947772241,0.999219395189006,0.0007806048109939567,0.9930060060060061,0.006993993993993919,926.4210524938861,98.92012725957154,0.02105199550772118,0.002249151135243382,0.044006329573560155,0.04398109389339339
Dew,35.394902808543776,0.9991069167148875,0.0008930832851125059,0.9920070070070071,0.007992992992992942,926.3637462573819,99.03597475063712,0.021050911810873905,0.0022519929200563856,0.04400587274223752,0.043977036458958965
Bubble,35.443525248298585,0.999,0.0010000000000000009,0.9910594514361406,0.008940548563859396,926.3092707382489,99.14617605862684,0.021049881612661327,0.002254696114920926,0.0440054385,0.043973187962007894
Dew,35.446167895724024,0.9989941889769526,0.0010058110230474204,0.991008008008008,0.008991991991991966,926.3063098750887,99.15216792957693,0.02104982561830213,0.002254843090668885,0.04400541489852989,0.043972979024524524
Dew,35.497545327334805,0.9988812104850069,0.0011187895149931126,0.990009009009009,0.009990990990990989,926.2487424988309,99.26870830932634,0.021048736913473465,0.002257701683811594,0.04400495603638486,0.04396892159009009
Dew,35.54903569364246,0.9987679797430555,0.001232020256944466,0.9890100100100101,0.010989989989989901,926.1910432769245,99.38559741295843,0.021047645679785437,0.002260568736459372,0.04400449614972643,0.043964864155655654
Dew,35.600639587116575,0.9986544952492082,0.0013455047507917595,0.9880110110110111,0.011988988988988925,926.1332113540983,99.502836773656,0.02104655190056387,0.0022634442858307,0.04400403523245467,0.04396080672122122
Dew,35.65235760248845,0.9985407554955847,0.001459244504415258,0.987012012012012,0.012987987987987948,926.0752458714603,99.62042793492004,0.02104545555906226,0.0022663283693925367,0.04400357327844531,0.043956749286786785
Dew,35.704190336771326,0.9984267589682195,0.0015732410317804701,0.986013013013013,0.013986986986986971,926.0171459664222,99.73837245059764,0.021044356638460226,0.0022692210248610664,0.04400311028154943,0.04395269185235235
Dew,35.756138389295856,0.9983125041469668,0.001687495853033183,0.9850140140140141,0.014985985985985883,925.9589107726492,99.85667188498181,0.021043255121862614,0.002272122290204086,0.04400264623559291,0.04394863441791792
Dew,35.80820236174727,0.9981979895054036,0.0018020104945963844,0.9840150150150151,0.015984984984984907,925.9005394199969,99.97532781291952,0.021042150992298145,0.0022750322036435826,0.0440021811343762,0.04394457698348349
