Branch,Pressure [bar],x_CO2 [-],x_Ar [-],y_CO2 [-],y_Ar [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,5.997690015816906,0.999976501273942,2.3498726058002184e-05,0.999,0.0010000000000000009,1166.0813480558475,15.824502195278248,0.026496523734677493,0.0003597987866787226,0.04400884281018839,0.04398153296
Dew,6.004212537948871,0.9999529731256107,4.7026874389288764e-05,0.9980010010010011,0.001998998998998913,1166.052481228763,15.831836574959437,0.02649626396984221,0.0003601943587494424,0.04400818479752288,0.04395359391503503
Dew,6.010749047330844,0.9999293918909687,7.060810903125603e-05,0.9970020020020021,0.0029979979979979365,1166.0235494224512,15.839186841218895,0.0264960036145774,0.00036059079569947066,0.0440075253001904,0.043925654870070066
Dew,6.017299586868715,0.9999057574010075,9.424259899248888e-05,0.996003003003003,0.00399699699699696,1165.9945524308062,15.846553044518796,0.026495742666992526,0.00036098810032972496,0.044006864313464275,0.043897715825105106
Dew,6.023864199643942,0.9998820694859497,0.00011793051405029065,0.995004004004004,0.004995995995995983,1165.965490046783,15.853935235533196,0.0264954811251883,0.0003613862754530877,0.04400620183259634,0.04386977678014014
Dew,6.030442928927689,0.999858327975245,0.00014167202475501295,0.9940050050050051,0.0059949949949948955,1165.9363620623958,15.861333465187784,0.026495218987256715,0.0003617853238953512,0.0440055378528168,0.043841837735175186
Dew,6.037035818175413,0.9998345326975658,0.00016546730243416352,0.9930060060060061,0.006993993993993919,1165.9071682687136,15.868747784642379,0.026494956251281034,0.0003621852484948593,0.04400487236933414,0.04381389869021022
Dew,6.043642911046417,0.9998106834808026,0.00018931651919740222,0.9920070070070071,0.007992992992992942,1165.8779084558557,15.876178245346265,0.026494692915335755,0.0003625860521038111,0.044004205377334946,0.04378595964524525
Dew,6.050264251367214,0.9997867801520592,0.00021321984794075988,0.991008008008008,0.008991991991991966,1165.8485824129802,15.883624898929792,0.0264944289774864,0.0003629877375858279,0.04400353687198385,0.043758020600280285
Dew,6.056899883176865,0.9997628225376488,0.0002371774623511902,0.990009009009009,0.009990990990990989,1165.8191899282883,15.891087797334768,0.026494164435789728,0.0003633903078189716,0.04400286684842333,0.04373008155531532
Dew,6.063549850704018,0.9997388104630884,0.00026118953691156577,0.9890100100100101,0.010989989989989901,1165.7897307890107,15.898566992745831,0.026493899288293477,0.0003637937656942205,0.04400219530177362,0.04370214251035036
Dew,6.070214198351371,0.9997147437530952,0.0002852562469047859,0.9880110110110111,0.011988988988988925,1165.7602047814012,15.906062537543647,0.026493633533036288,0.0003641981141144388,0.04400152222713257,0.04367420346538539
Dew,6.0768929707371155,0.9996906222315809,0.0003093777684191057,0.987012012012012,0.012987987987987948,1165.7306116907414,15.913574484423743,0.026493367168047916,0.00036460335599713744,0.04400084761957552,0.043646264420420425
Dew,6.0835862126780516,0.9996664457216481,0.00033355427835191076,0.986013013013013,0.013986986986986971,1165.7009513013231,15.921102886345588,0.026493100191348873,0.0003650094942733537,0.04400017147415516,0.04361832537545546
Dew,6.090293969162074,0.9996422140455846,0.0003577859544153794,0.9850140140140141,0.014985985985985883,1165.6712233964467,15.928647796451076,0.026492832600950464,0.00036541653188582415,0.04399949378590143,0.0435903863304905
Dew,6.097016285405408,0.9996179270248592,0.0003820729751408125,0.9840150150150151,0.015984984984984907,1165.6414277584195,15.936209268228895,0.026492564394854888,0.0003658244717927959,0.04399881454982132,0.04356244728552553
Dew,6.103753206803971,0.9995935844801166,0.0004064155198834074,0.9830160160160161,0.01698398398398393,1165.6115641685435,15.943787355371658,0.02649229557105497,0.000366233316964794,0.043998133760898804,0.04353450824056057
Dew,6.110504778957706,0.9995691862311731,0.0004308137688269209,0.982017017017017,0.017982982982982954,1165.5816324071138,15.951382111844756,0.02649202612753423,0.0003666430703862441,0.04399745141409467,0.043506569195595604
Dew,6.117271047668389,0.9995447320970108,0.0004552679029892204,0.981018018018018,0.018981981981981977,1165.551632253411,15.958993591878246,0.02649175606226679,0.0003670537350553297,0.04399676750434639,0.04347863015063063
Dew,6.124052058960338,0.9995202218957736,0.00047977810422639156,0.9800190190190191,0.01998098098098089,1165.5215634856984,15.966621850024927,0.026491485373217397,0.00036746531398537387,0.043996082026567976,0.04345069110566567
Dew,6.130847859010174,0.999495655444762,0.0005043445552379566,0.9790200200200201,0.020979979979979912,1165.4914258812055,15.974266940955484,0.0264912140583411,0.0003678778102001697,0.04399539497564988,0.04342275206070071
Dew,6.137658494256623,0.9994710325604279,0.0005289674395720922,0.9780210210210211,0.021978978978978936,1165.4612192161399,15.981928919774171,0.026490942115583636,0.000368291226741289,0.043994706346458794,0.04339481301573574
Dew,6.14448401131221,0.9994463530583697,0.0005536469416302925,0.977022022022022,0.02297797797797796,1165.4309432656642,15.989607841761728,0.026490669542880964,0.000368705566662211,0.04399401613383755,0.043366873970770776
Dew,6.151324457004503,0.9994216167533276,0.0005783832466723648,0.976023023023023,0.023976976976976982,1165.4005978039004,15.997303762492795,0.02649039633815945,0.0003691208330310705,0.04399332433260499,0.0433389349258058
Dew,6.1581798783635495,0.9993968234591781,0.0006031765408218703,0.9750240240240241,0.024975975975975895,1165.3701826039146,16.005016737797803,0.026490122499335623,0.00036953702892982476,0.043992630937555774,0.04331099588084084
Dew,6.1650503226406155,0.9993719729889293,0.0006280270110706754,0.9740250250250251,0.025974974974974918,1165.3396974377256,16.01274682381521,0.026489848024316403,0.00036995415745550526,0.043991935943460306,0.04328305683587588
Dew,6.171935837289152,0.9993470651547153,0.000652934845284725,0.9730260260260261,0.02697397397397394,1165.3091420762812,16.02049407693477,0.026489572910998693,0.000370372221718955,0.04399123934506453,0.043255117790910916
Dew,6.178836469968263,0.9993220997677914,0.0006779002322085947,0.972027027027027,0.027972972972972965,1165.2785162894622,16.02825855380574,0.026489297157269547,0.0003707912248450622,0.04399054113708981,0.04322717874594595
Dew,6.185752268571621,0.999297076638529,0.0007029233614710417,0.9710280280280281,0.028971971971971877,1165.247819846078,16.03604031141821,0.026489020761006125,0.0003712111699746895,0.043989841314232815,0.04319923970098098
Dew,6.192683281175553,0.9992719955764097,0.0007280044235903338,0.9700290290290291,0.0299709709709709,1165.2170525138506,16.043839406951918,0.02648874372007547,0.0003716320602612229,0.043989139871165275,0.04317130065601602
Dew,6.199629556105409,0.9992468563900209,0.0007531436099791344,0.9690300300300301,0.030969969969969924,1165.186214059418,16.051655897965233,0.026488466032334596,0.00037205389887499273,0.04398843680253397,0.043143361611051055
Dew,6.206591141876654,0.99922165888705,0.0007783411129500539,0.968031031031031,0.03196896896896895,1165.1553042483215,16.059489842223908,0.026488187695630334,0.00037247668899935703,0.04398773210296049,0.04311542256608609
Dew,6.213568087233844,0.999196402874279,0.0008035971257209784,0.967032032032032,0.03296796796796797,1165.1243228450019,16.06734129781123,0.02648790870779935,0.0003729004338332999,0.04398702576704108,0.04308748352112112
Dew,6.220560441147258,0.9991710881575795,0.00082891184242051,0.9660330330330331,0.03396696696696688,1165.0932696127957,16.07521032311637,0.026487629066668093,0.0003733251365912121,0.04398631778934656,0.043059544476156154
Dew,6.2275682527892755,0.9991457145419066,0.0008542854580934067,0.9650340340340341,0.034965965965965906,1165.0621443139187,16.083096976764743,0.026487348770052547,0.00037375080050132197,0.04398560816442209,0.043031605431191194
Dew,6.234591571564197,0.9991202818312944,0.0008797181687055788,0.9640350350350351,0.03596496496496493,1165.0309467094703,16.091001317701632,0.0264870678157584,0.0003741774288076857,0.04398489688678709,0.04300366638622623
Dew,6.241630447104249,0.9990947898288496,0.0009052101711504168,0.963036036036036,0.03696396396396395,1164.9996765594215,16.09892340517872,0.026486786201580882,0.00037460502476992507,0.043984183950935035,0.04297572734126126
Dew,6.248684929262761,0.9990692383367464,0.0009307616632535654,0.9620370370370371,0.037962962962962865,1164.968333622612,16.106863298732627,0.02648650392530476,0.00037503359166277806,0.04398346935133333,0.0429477882962963
Dew,6.255755068110132,0.9990436271562212,0.0009563728437788077,0.9610380380380381,0.03896196196196189,1164.9369176567347,16.114821058171447,0.026486220984704108,0.00037546313277583523,0.04398275308242313,0.042919849251331334
Dew,6.262840913949894,0.9990179560875663,0.0009820439124337277,0.9600390390390391,0.03996096096096091,1164.9054284183394,16.12279674361873,0.02648593737754244,0.0003758936514146122,0.04398203513861921,0.04289191020636637
Bubble,6.267796712084226,0.999,0.0010000000000000009,0.9593416568293076,0.04065834317069239,1164.8834028133263,16.128374989054453,0.026485739000338068,0.0003761947674371119,0.04398153296,0.042872406490211526
Dew,6.26994251731514,0.9989922249301246,0.0010077750698753718,0.9590400400400401,0.040959959959959935,1164.8738656628207,16.13079041550128,0.02648565310157256,0.0003763251509003185,0.043981315514309796,0.0428639711614014
Dew,6.277059928962442,0.9989664334822844,0.0010335665177155784,0.958041041041041,0.04195895895895896,1164.8422291444087,16.13880213452982,0.026485368154536462,0.00037675763456945555,0.04398059420385638,0.04283603211643643
