Branch,Pressure [bar],x_CO2 [-],x_Ar [-],y_CO2 [-],y_Ar [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,5.997767917238969,0.9999882787987937,1.172120120629394e-05,0.999,0.0010000000000000009,1166.1070443602694,15.832180221367281,0.0264967406072566,0.00035977780840355176,0.0440094523943413,0.0440054385
Dew,6.004367287378058,0.9999765468595263,2.3453140473694845e-05,0.9980010010010011,0.001998998998998913,1166.1039069751769,15.847200896626976,0.0264966980064825,0.0003601523523321548,0.044009404745069966,0.044001381065565566
Dew,6.010979671459108,0.9999647923804774,3.5207619522581446e-05,0.9970020020020021,0.0029979979979979365,1166.1007636246054,15.862253459721877,0.02649665532518248,0.00036052769010927384,0.04400935700425331,0.04399732363113113
Dew,6.017605113997812,0.9999530152813392,4.698471866082521e-05,0.996003003003003,0.00399699699699696,1166.0976142868606,15.877338015314791,0.026496612563059442,0.0003609038243336196,0.04400930917156516,0.043993266196696704
Dew,6.024243659683465,0.999941215481505,5.878451849494759e-05,0.995004004004004,0.004995995995995983,1166.094458940162,15.892454668532833,0.026496569719815052,0.00036128075761541665,0.04400926124667814,0.04398920876226226
Dew,6.030895353366695,0.9999293929000681,7.06070999318964e-05,0.9940050050050051,0.0059949949949948955,1166.091297562655,15.907603524930769,0.026496526795150032,0.0003616584925755751,0.04400921322926363,0.04398515132782783
Dew,6.037560240075259,0.9999175474558188,8.245254418115522e-05,0.9930060060060061,0.006993993993993919,1166.0881301323993,15.922784690536488,0.02649648378876388,0.00036203703184673,0.04400916511899181,0.04398109389339339
Dew,6.044238365005475,0.9999056790672428,9.43209327571859e-05,0.9920070070070071,0.007992992992992942,1166.0849566273735,15.937998271825204,0.026496440700355,0.00036241637807265956,0.04400911691553161,0.043977036458958965
Dew,6.050929773535353,0.9998937876525185,0.00010621234748153796,0.991008008008008,0.008991991991991966,1166.0817770254769,15.953244375757087,0.026496397529620748,0.00036279653390914625,0.04400906861855071,0.043972979024524524
Dew,6.057634511202755,0.9998818731295154,0.000118126870484625,0.990009009009009,0.009990990990990989,1166.0785913045197,15.968523109712718,0.026496354276257194,0.0003631775020225144,0.04400902022771553,0.04396892159009009
Dew,6.0643526237329635,0.9998699354157915,0.0001300645842085002,0.9890100100100101,0.010989989989989901,1166.0753994422348,15.983834581572895,0.02649631093995942,0.0003635592850914502,0.044008971742691236,0.043964864155655654
Dew,6.071084157021857,0.9998579744285916,0.00014202557140841066,0.9880110110110111,0.011988988988988925,1166.072201416264,15.999178899668744,0.0264962675204212,0.00036394188580587294,0.04400892316314172,0.04396080672122122
Dew,6.077829157147474,0.9998459900848444,0.00015400991515557294,0.987012012012012,0.012987987987987948,1166.0689972041723,16.01455617281477,0.02649622401733531,0.00036432530686769145,0.044008874488729595,0.043956749286786785
Dew,6.084587670365218,0.9998339823011609,0.00016601769883906048,0.986013013013013,0.013986986986986971,1166.065786783433,16.029966510294102,0.026496180430393246,0.0003647095509904743,0.04400882571911617,0.04395269185235235
Dew,6.09135974310841,0.9998219509938321,0.00017804900616791297,0.9850140140140141,0.014985985985985883,1166.0625701314352,16.045410021859396,0.02649613675928537,0.00036509462089947577,0.04400877685396145,0.04394863441791792
Dew,6.09814542199516,0.9998098960788261,0.00019010392117391195,0.9840150150150151,0.015984984984984907,1166.0593472254807,16.06088681775214,0.026496093003700816,0.00036548051933208065,0.044008727892924156,0.04394457698348349
Dew,6.104944753826288,0.9997978174717871,0.00020218252821291305,0.9830160160160161,0.01698398398398393,1166.0561180427867,16.07639700869587,0.026496049163327606,0.00036586724903765484,0.04400867883566167,0.043940519549049054
Dew,6.11175778558245,0.999785715088032,0.00021428491196795463,0.982017017017017,0.017982982982982954,1166.0528825604779,16.091940705887055,0.026496005237852456,0.00036625481277734423,0.044008629681830044,0.04393646211461462
Dew,6.118584564437661,0.9997735888425487,0.00022641115745125617,0.981018018018018,0.018981981981981977,1166.0496407555947,16.107518021033787,0.026495961226960955,0.0003666432133249603,0.044008580431084014,0.043932404680180184
Dew,6.125425137744552,0.999761438649994,0.00023856135000599465,0.9800190190190191,0.01998098098098089,1166.0463926050859,16.12312906631208,0.026495917130337433,0.00036703245346599126,0.04400853108307695,0.04392834724574575
Dew,6.132279553040819,0.9997492644246906,0.00025073557530941315,0.9790200200200201,0.020979979979979912,1166.043138085811,16.138773954384,0.02649587294766498,0.0003674225359980201,0.044008481637460885,0.043924289811311315
Dew,6.139147858064025,0.9997370660806258,0.0002629339193741531,0.9780210210210211,0.021978978978978936,1166.03987717454,16.15445279843996,0.026495828678625506,0.00036781346373169354,0.04400843209388646,0.04392023237687688
Dew,6.14603010073143,0.9997248435314485,0.000275156468551474,0.977022022022022,0.02297797797797796,1166.0366098479492,16.170165712139312,0.026495784322899573,0.0003682052394893751,0.044008382452002975,0.043916174942442446
Dew,6.1529263291558856,0.999712596690467,0.00028740330953302973,0.976023023023023,0.023976976976976982,1166.033336082626,16.185912809655925,0.026495739880166583,0.0003685978661061878,0.04400833271145833,0.04391211750800801
Dew,6.159836591646762,0.9997003254706467,0.00029967452935331096,0.9750240240240241,0.024975975975975895,1166.0300558550662,16.201694205680106,0.026495695350104667,0.00036899134643006534,0.044008282871899035,0.04390806007357357
Dew,6.166760936694463,0.9996880297846082,0.00031197021539175473,0.9740250250250251,0.025974974974974918,1166.0267691416675,16.21751001537284,0.0264956507323906,0.00036938568332071394,0.04400823293297019,0.04390400263913914
Dew,6.173699412996543,0.9996757095446245,0.0003242904553755199,0.9730260260260261,0.02697397397397394,1166.023475918739,16.233360354441093,0.026495606026699942,0.0003697808796513345,0.044008182894315497,0.04389994520470471
Dew,6.180652069444159,0.9996633646626185,0.00033663533738148566,0.972027027027027,0.027972972972972965,1166.0201761624944,16.249245339097623,0.026495561232706983,0.00037017693830771283,0.04400813275557723,0.04389588777027027
Dew,6.1876189551195555,0.9996509950501613,0.0003490049498386938,0.9710280280280281,0.028971971971971877,1166.0168698490506,16.265165086053,0.026495516350084642,0.00037057386218804315,0.044008082516396235,0.04389183033583583
Dew,6.194600119313542,0.9996386006184691,0.00036139938153090245,0.9700290290290291,0.0299709709709709,1166.0135569544316,16.281119712565637,0.026495471378504606,0.0003709716542040746,0.044008032176411915,0.0438877729014014
Dew,6.201595611514077,0.9996261812784015,0.0003738187215984734,0.9690300300300301,0.030969969969969924,1166.0102374545631,16.29710933640797,0.026495426317637176,0.00037137031728034646,0.044007981735262235,0.04388371546696697
Dew,6.208605481393712,0.9996137369404585,0.00038626305954148066,0.968031031031031,0.03196896896896895,1166.0069113252732,16.313134075829215,0.026495381167151333,0.0003717698543533452,0.04400793119258368,0.043879658032532534
