Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_AR_[-]
223.07,7.31103225918211,14.517335241913193,7.24873193633826,0.9987936593945465,0.9390873791944506,1146.8916980539484,18.85342085302724,3.3466777892844397
223.07,7.795317790423855,14.430881016548978,7.282650241088469,0.9975873187890929,0.8855587860199923,1146.653510931334,19.99391217017401,3.330843700459184
223.07,8.279363404843732,14.344813347120141,7.3159459189983735,0.9963809781836394,0.8381624029744981,1146.4147435344314,21.13748271026263,3.315059929817969
223.07,8.763137789577842,14.259131654877283,7.35005475896881,0.9951746375781857,0.7959122628764905,1146.1753869304264,22.28401434846965,3.2994212787474164
223.07,9.246615886019542,14.173835434111584,7.384001069593822,0.9939682969727321,0.7580216889914299,1145.9354335931062,23.433412948114942,3.2839944205899942
223.07,9.729777389955297,14.08892416346761,7.417348501209857,0.9927619563672786,0.7238556595319448,1145.6948770637005,24.5856030885345,3.2686216178324843
223.07,10.212605663525611,14.004397288719481,7.451447450221941,0.991555615761825,0.6928961380394082,1145.4537117048399,25.740524115163847,3.253307366565922
223.07,10.695086933198645,13.92025421392033,7.485392494161252,0.9903492751563715,0.66471645178921,1145.2119325191954,26.89812714634264,3.238055752510222
223.07,11.177209690065906,13.836494279867303,7.518759266676746,0.9891429345509178,0.6389620909110333,1144.9695350138447,28.058372780400752,3.2228704881627945
223.07,11.658964235313759,13.753116760628464,7.552801559449733,0.9879365939454643,0.6153361342774011,1144.726515097492,29.22122932109526,3.207754944316232
223.07,12.140342331494093,13.670120761059676,7.58676292834312,0.9867302533400107,0.5935880567642308,1144.4828690016009,30.3866713908817,3.1927122400788046
223.07,12.621336932094545,13.587505619525032,7.620166228425354,0.9855239127345572,0.5735050399988706,1144.2385932192378,31.554678837372492,3.1777450107392027
223.07,13.101941969511955,13.505270314395862,7.654135246002469,0.9843175721291036,0.5549051589834748,1143.9936844571162,32.72523586358882,3.1628558447733344
223.07,13.582152187240943,13.423413855473848,7.688132363197255,0.9831112315236501,0.5376319900090438,1143.7481395976529,33.898330330638196,3.1480470147216573
223.07,14.061963005896583,13.341935192292603,7.721591124943217,0.9819048909181964,0.5215503065880074,1143.5019556686707,35.073953194396815,3.1333205709302945
223.07,14.541370415399895,13.260833217576348,7.755474860792454,0.9806985503127429,0.5065426163032003,1143.2551298190076,36.2520980472124,3.118678358449796
