Branch,Pressure [bar],x_CO2 [-],x_CH4 [-],y_CO2 [-],y_CH4 [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,32.078444924114756,0.9999218292166622,7.817078333780622e-05,0.999,0.0010000000000000009,946.0493243106615,88.4751878402473,0.021497090511535113,0.0020110966392073923,0.04400824957233265,0.0439935039
Dew,32.124457922996285,0.9998434551330372,0.00015654486696277173,0.9980010010010011,0.001998998998998913,945.9730114273775,88.57137324237327,0.021495968816751157,0.002014014559364056,0.044006995892653576,0.04397752381211212
Dew,32.17061671969483,0.9997647983174793,0.0002352016825207617,0.9970020020020021,0.0029979979979979365,945.8964079185398,88.66791632998768,0.02149484266288339,0.002016942737184381,0.04400573769036624,0.04396154372422423
Dew,32.216913337329466,0.9996858574852715,0.0003141425147284566,0.996003003003003,0.00399699699699696,945.8195055252521,88.76478014912249,0.021493711871556756,0.002019880342955197,0.04400447494492015,0.04394556363633634
Dew,32.26335145827435,0.999606631313372,0.00039336868662789344,0.995004004004004,0.004995995995995983,945.7423053254716,88.8619796890579,0.021492576476855936,0.002022827728176732,0.04400320763515183,0.04392958354844845
Dew,32.30993819580399,0.9995271184282081,0.00047288157179199345,0.9940050050050051,0.0059949949949948955,945.6648109809541,88.95954515314709,0.021491436571979387,0.0020257855913155235,0.04400193573908947,0.043913603460560564
Dew,32.356672170302915,0.9994473174932875,0.000552682506712538,0.9930060060060061,0.006993993993993919,945.5870194315031,89.05746894537795,0.021490292097072202,0.0020287537707751706,0.04400065923535438,0.043897623372672674
Dew,32.40354918236511,0.9993672272056973,0.0006327727943027291,0.9920070070070071,0.007992992992992942,945.5089254970505,89.15573096876568,0.02148914294382551,0.0020317318198445613,0.04399937810310505,0.04388164328478479
Dew,32.4505723664719,0.9992868461933365,0.0007131538066634023,0.991008008008008,0.008991991991991966,945.4305296738735,89.25434371423505,0.021487989133466678,0.0020347200340641147,0.04399809232039323,0.0438656631968969
Dew,32.49774235061739,0.9992061730967607,0.0007938269032392403,0.990009009009009,0.009990990990990989,945.3518304984348,89.35330852819554,0.021486830642576966,0.002037718455252365,0.0439968018654731,0.043849683109009004
Dew,32.545059765891644,0.9991252065491283,0.000874793450871733,0.9890100100100101,0.010989989989989901,945.272826498904,89.45262676731976,0.0214856674475989,0.0020407271255229635,0.04399550671648051,0.04383370302112113
Dew,32.59252524651709,0.9990439451761158,0.0009560548238842302,0.9880110110110111,0.011988988988988925,945.1935161950571,89.55229979863321,0.021484499524834562,0.0020437460872872724,0.04399420685143167,0.04381772293323324
Bubble,32.6181938443082,0.999,0.0010000000000000009,0.9874722766912147,0.012527723308785198,945.1506261919133,89.60624319417991,0.021483867898776602,0.002045379439065872,0.0439935039,0.043809105285180346
Dew,32.64014365723783,0.9989623875218708,0.0010376124781292277,0.987012012012012,0.012987987987987948,945.1139012014356,89.65234771318451,0.021483326921561678,0.002046775810490644,0.0439929022470386,0.043801742845345354
Dew,32.687907721369754,0.9988805323287607,0.0011194676712392164,0.986013013013013,0.013986986986986971,945.0339741785144,89.75273683878095,0.021482149479969303,0.002049815537894096,0.04399159288318409,0.043785762757457464
Dew,32.735821778702665,0.9987983781399026,0.0012016218600973733,0.9850140140140141,0.014985985985985883,944.9537363566396,89.85348494463283,0.021480967238591653,0.002052865686424859,0.04399027873656369,0.043769782669569574
Dew,32.78388647644275,0.9987159235501429,0.0012840764498570215,0.9840150150150151,0.015984984984984907,944.8731862209343,89.95459344044967,0.021479780173150755,0.0020559262997203076,0.04398895978470044,0.04375380258168168
Dew,32.83210246511902,0.9986331671464096,0.001366832853590333,0.9830160160160161,0.01698398398398393,944.7923222476492,90.05606374678003,0.0214785882592203,0.00205899742172941,0.043987636004990685,0.0437378224937938
Dew,32.880470398620986,0.9985501075076219,0.0014498924923780725,0.982017017017017,0.017982982982982954,944.711142904042,90.1578972951064,0.021477391472223533,0.002062079096715465,0.04398630737470267,0.04372184240590591
Dew,32.92899093423745,0.9984667432046002,0.0015332567953998315,0.981018018018018,0.018981981981981977,944.6296466482942,90.26009552794564,0.02147618978743189,0.0020651713692589778,0.04398497387097511,0.04370586231801802
Dew,32.97766473269615,0.9983830727999747,0.0016169272000252659,0.9800190190190191,0.01998098098098089,944.5478319293999,90.36265989895173,0.021474983179963207,0.002068274284260587,0.04398363547081568,0.04368988223013013
Dew,33.02649245820235,0.9982990948480939,0.0017009051519060992,0.9790200200200201,0.020979979979979912,944.465697187062,90.46559187301499,0.021473771624779897,0.0020713878869439263,0.0439822921510996,0.043673902142242246
Dew,33.07547477847983,0.9982148078949311,0.0017851921050688788,0.9780210210210211,0.021978978978978936,944.383240851597,90.56889292637115,0.021472555096687426,0.0020745122228587143,0.043980943888568116,0.043657922054354356
Dew,33.12461236480805,0.9981302104779913,0.0018697895220087374,0.977022022022022,0.02297797797797796,944.3004613438186,90.67256454669325,0.02147133357033235,0.0020776473378834545,0.043979590659827004,0.043641941966466466
Dew,33.17390589206568,0.998045301126216,0.0019546988737839687,0.976023023023023,0.023976976976976982,944.2173570749402,90.77660823321159,0.021470107020200684,0.002080793278228787,0.043978232441345064,0.043625961878578576
Bubble,33.19961915520868,0.9980010010010011,0.001998998998998913,0.975503270230805,0.02449672976919498,944.1739947963451,90.8309102907536,0.02146946696749453,0.002082434857109652,0.04397752381211212,0.04361764786093898
Dew,33.2233560387689,0.9979600783598886,0.0020399216401114,0.9750240240240241,0.024975975975975895,944.1339264464642,90.88102549681119,0.02146887542061605,0.002083950090440334,0.04397686920945262,0.04360998179069069
Dew,33.27296348711319,0.9978745406905372,0.002125459309462821,0.9740250250250251,0.025974974974974918,944.0501678500776,90.98581786014277,0.02146763874573798,0.00208711782140186,0.0439755009403399,0.04359400170280281
Dew,33.322728923014104,0.9977886866208378,0.002211313379162248,0.9730260260260261,0.02697397397397394,943.9660796675334,91.09098685773037,0.021466396969559803,0.002090296518338358,0.04397412761005559,0.04357802161491492
Dew,33.3726530361493,0.997702514644516,0.002297485355484016,0.972027027027027,0.027972972972972965,943.881660270557,91.19653403608417,0.021465150065907292,0.0020934862288192685,0.04397274919450515,0.04356204152702703
Dew,33.42273651999957,0.9976160232462479,0.002383976753752096,0.9710280280280281,0.028971971971971877,943.7969080207137,91.30246095380826,0.02146389800843622,0.0020966870007615825,0.04397136566944931,0.043546061439139146
Dew,33.472980071892444,0.9975292109015599,0.0024707890984400982,0.9700290290290291,0.0299709709709709,943.7118212693157,91.40876918171976,0.02146264077063096,0.002099898882433222,0.043969977010502447,0.043530081351251255
Dew,33.523384393042846,0.9974420760767275,0.0025579239232724127,0.9690300300300301,0.030969969969969924,943.6263983572946,91.51546030295441,0.021461378325802277,0.0021031219224561053,0.04396858319313094,0.043514101263363365
Dew,33.573950188597685,0.9973546172286738,0.0026453827713262225,0.968031031031031,0.03196896896896895,943.5406376150967,91.62253591309,0.021460110647085612,0.0021063561698096375,0.043967184192651595,0.043498121175475475
Dew,33.62467816767819,0.9972668328048652,0.002733167195134782,0.967032032032032,0.03296796796796797,943.4545373625563,91.7299976202589,0.02145883770743893,0.0021096016738339535,0.0439657799842299,0.043482141087587585
Dew,33.6755732647261,0.9971787210403783,0.002821278959621653,0.9660330330330331,0.03396696696696688,943.3680984156467,91.83786551683473,0.021457559538244672,0.002112858909197645,0.043964370539634,0.0434661609996997
Dew,33.72662792469399,0.9970902807541814,0.002909719245818522,0.9650340340340341,0.034965965965965906,943.2813141290003,91.94610502856989,0.021456275996605097,0.002116127093122749,0.04396295583997196,0.04345018091181182
Bubble,33.777566783111816,0.9970020020020021,0.0029979979979979365,0.9640405617442619,0.03595943825573821,943.1946706921913,92.05414984108131,0.021454994315235128,0.0021193888854545502,0.04396154372422423,0.04343428922971739
Dew,33.777846921807836,0.9970015101761864,0.0029984898238136003,0.9640350350350351,0.03596496496496493,943.1941852252558,92.0547355461311,0.021454987111797823,0.0021194066841314268,0.043961535856929294,0.04343420082392393
Dew,33.829230981552755,0.9969124077149688,0.0030875922850311173,0.963036036036036,0.03696396396396395,943.1067099805898,92.16375872917185,0.021453692856050473,0.002122697733043635,0.04396011056504942,0.04341822073603603
Dew,33.88078083361192,0.9968229717691169,0.0031770282308830732,0.9620370370370371,0.037962962962962865,943.0188866599683,92.2731762505131,0.02145239320140317,0.0021260002910575572,0.043958679938715974,0.04340224064814815
Dew,33.932497211910956,0.9967332007271212,0.0032667992728788024,0.9610380380380381,0.03896196196196189,942.9307135170336,92.38298979626259,0.02145108811970661,0.002129314409753049,0.0439572439521511,0.04338626056026027
Dew,33.98438085466341,0.9966430929672645,0.0033569070327355652,0.9600390390390391,0.03996096096096091,942.8421887939664,92.49320106594028,0.021449777582619747,0.0021326401410952382,0.043955802579413665,0.04337028047237238
Dew,34.03643250441938,0.9965526468575093,0.003447353142490633,0.9590400400400401,0.040959959959959935,942.7533107213693,92.60381177261621,0.021448461561607877,0.002135977537438408,0.04395435579439741,0.04335430038448449
Dew,34.088652908109964,0.9964618607553858,0.0035381392446142117,0.958041041041041,0.04195895895895896,942.6640775181338,92.71482364302952,0.02144714002794035,0.002139326651529466,0.043952903570829226,0.0433383202965966
Dew,34.141042817096,0.9963707330078763,0.0036292669921237737,0.9570420420420421,0.04295795795795787,942.5744873913102,92.82623841772676,0.021445812952688378,0.00214268753651186,0.04395144588226729,0.04332234020870871
Dew,34.19360298721486,0.9962792619513005,0.0037207380486995235,0.9560430430430431,0.043956956956956894,942.4845385359795,92.93805785119082,0.021444480306722927,0.0021460602459292826,0.0439499827020992,0.04330636012082083
Dew,34.246334178830146,0.9961874459111989,0.0038125540888011996,0.9550440440440441,0.04495595595595592,942.3942291351207,93.05028371198249,0.021443142060712427,0.0021494448337296868,0.04394851400354014,0.04329038003293294
Dew,34.299237156879194,0.9960952832022142,0.0039047167977858234,0.9540450450450451,0.04595495495495494,942.3035573594813,93.16291778287136,0.021441798185120677,0.002152841354269052,0.04394703975963095,0.04327439994504505
Bubble,34.352184958097155,0.996003003003003,0.00399699699699696,0.9530485380916673,0.046951461908332666,942.2127519703345,93.27570106288752,0.021440452095857678,0.0021562418464798035,0.04394556363633634,0.043258459720168126
Dew,34.35231269092188,0.9960027721279726,0.003997227872027321,0.9530460460460461,0.04695395395395385,942.2125213674292,93.27596186097325,0.02144044865020423,0.002156249862315316,0.04394555994323627,0.04325841985715716
Dew,34.40556155519123,0.9959099109809632,0.004090089019036857,0.9520470470470471,0.047952952952952876,942.1211193048297,93.38941775789422,0.021439093426010396,0.0021596704130524675,0.04394407452704259,0.043242439769269274
Dew,34.458984528643406,0.9958166980424153,0.004183301957584719,0.9510480480480481,0.0489519519519519,942.0293493049063,93.50328729987143,0.021437732482374922,0.0021631030620845736,0.043942583483556286,0.043226459681381384
Dew,34.51258239500799,0.9957231315821761,0.004276868417823844,0.9500490490490491,0.04995095095095092,941.9372094880844,93.61757232791537,0.021436365788919245,0.002166547865439846,0.04394108678510165,0.043210479593493493
Dew,34.56635594283867,0.995629209858586,0.004370790141414021,0.94905005005005,0.050949949949949946,941.8446979618728,93.73227469795394,0.021434993315048608,0.0021700048795747647,0.04393958440381893,0.04319449950560561
Dew,34.620305965565585,0.9955349311183518,0.004465068881648198,0.9480510510510511,0.05194894894894886,941.7518128207068,93.84739628098147,0.021433615029949372,0.002173474161378319,0.04393807631166227,0.04317851941771771
Dew,34.67443326154702,0.9954402935964202,0.004559706403579865,0.9470520520520521,0.05294794794794788,941.6585521458052,93.9629389632067,0.021432230902586568,0.0021769557681762357,0.0439365624803977,0.04316253932982984
Dew,34.72873863412262,0.995345295515848,0.004654704484151881,0.9460530530530531,0.053946946946946905,941.5649140050222,94.07890464620549,0.021430840901701432,0.002180449757735332,0.04393504288160106,0.04314655924194195
